N;ID;ABREV;MAXHDIA;MINHDIA;DEPART;PREF;CUAD;EMAIL;BANDAH;Z
290;28;AE1;5;2;ADMINISTRATIVO;;..................................................................................................................................;; ;(WideMemo)
310;30;AE2;4;2;ADMINISTRATIVO;;xx........................xx..................................................xx........................xx........................;; ;(WideMemo)
520;51;AE3;4;2;ADMINISTRATIVO;;....................................xx..........................................................................xxxx..............;; ;(WideMemo)
530;52;AE4;2;2;ADMINISTRATIVO;;oo........xx..............oo........xx..............oo........xx................................................xxxx..............;; ;(WideMemo)
410;40;AQI1;4;2;QUÍMICA;;..................................................................................................................................;; ;(WideMemo)
430;42;AQI2;4;2;QUÍMICA;;xx......................................................................................................xxxxxxxxxxxx..............;; ;(WideMemo)
1370;77;AQI3;4;2;QUÍMICA;;..................................................................................................................................;; ;(WideMemo)
1380;83;AQI4;5;2;QUÍMICA;;....................................................xxxxxxxxxxxxxx................................................................;; ;(WideMemo)
170;16;EF1;5;2;ACTIVIDADES FÍSICO DEPORTIVAS;;..................................................................................................................................;; ;(WideMemo)
1810;126;EF10;6;2;ACTIVIDADES FÍSICO DEPORTIVAS;;..................................................................................................................................;; ;(WideMemo)
1830;128;EF11;5;2;ACTIVIDADES FÍSICO DEPORTIVAS;;..................................................................................................................................;; ;(WideMemo)
1840;129;EF12;5;2;ACTIVIDADES FÍSICO DEPORTIVAS;;..................................................................................................................................;; ;(WideMemo)
540;53;EF2;5;2;ACTIVIDADES FÍSICO DEPORTIVAS;;..................................................................................................................................;; ;(WideMemo)
550;54;EF3;6;2;ACTIVIDADES FÍSICO DEPORTIVAS;;..................................................................................................................................;; ;(WideMemo)
280;27;EF4;5;2;ACTIVIDADES FÍSICO DEPORTIVAS;;..................................................................................................................................;; ;(WideMemo)
160;15;EF5;5;2;ACTIVIDADES FÍSICO DEPORTIVAS;;..................................................................................................................................;; ;(WideMemo)
1520;102;EF6;5;2;ACTIVIDADES FÍSICO DEPORTIVAS;;..................................................................................................................................;; ;(WideMemo)
1630;46;EF7;5;2;ACTIVIDADES FÍSICO DEPORTIVAS;;..................................................................................................................................;; ;(WideMemo)
1710;117;EF8;5;2;ACTIVIDADES FÍSICO DEPORTIVAS;;..................................................................................................................................;; ;(WideMemo)
1720;118;EF9;4;2;ACTIVIDADES FÍSICO DEPORTIVAS;;..................................................................................................................................;; ;(WideMemo)
1820;127;ESP;4;2;SERVICIOS A LA COMUNIDAD;;..................................................................................................................................;; ;(WideMemo)
380;37;ETF1;6;2;INSTALACIÓN Y MANTENIMIENTO;;..................................................................................................................................;; ;(WideMemo)
230;22;ETF2;6;2;INSTALACIÓN Y MANTENIMIENTO;;..................................................................................................................................;; ;(WideMemo)
10;0;FIC1;6;2;MADERA Y MUEBLE;;..................................................................................................................................;; ;(WideMemo)
30;2;FIC2;6;2;MADERA Y MUEBLE;;............................................................................................................xxxxxxxx..............;; ;(WideMemo)
1590;113;FIC3;3;2;MADERA Y MUEBLE;;........................................................................................................xxxxxxxxxxxx..............;; ;(WideMemo)
370;36;FO01;5;2;FOL;;..................................................................................................................................;; ;(WideMemo)
490;79;FO02;5;2;FOL;;xxxxxxxxxxxxxxoooooo..............................................oo..............................................................;; ;(WideMemo)
420;41;FO03;4;2;FOL;;xx............................................................................xx..................................................;; ;(WideMemo)
120;11;FO04;4;2;FOL;;..................................................................................................................................;; ;(WideMemo)
270;26;FO05;4;2;FOL;;oo............................................................................oo........................oo........................;; ;(WideMemo)
240;23;FO06;5;2;FOL;;............................................................................................................xxxxxxxx..............;; ;(WideMemo)
540;80;FO07;5;2;FOL;;..........xx......................................................................................................xx..............;; ;(WideMemo)
390;38;FO08;4;2;FOL;;..................................................................................................................................;; ;(WideMemo)
560;81;FO09;4;2;FOL;;..................................................................................................................xx..............;; ;(WideMemo)
910;89;FO10;4;2;FOL;;..................................................................................................................................;; ;(WideMemo)
1090;76;FO11;5;2;FOL;;..................................................................................................................................;; ;(WideMemo)
1500;112;FO12;5;2;FOL;;..................................................................................................................................;; ;(WideMemo)
1640;56;FO13;5;2;FOL;;..................................................................................................................................;; ;(WideMemo)
1760;122;FO14;5;2;FOL;;..................................................................................................................................;; ;(WideMemo)
350;34;IE1;5;2;INSTALACIÓN Y MANTENIMIENTO;;....................................................xx..................................................xxxxxxxxxxxxxx............;; ;(WideMemo)
60;5;INF1;4;2;INFORMÁTICA Y COMUNICACIONES;;..........................xxxxxxxxxxxx............................................................................xx..............;; ;(WideMemo)
1930;137;INF10;6;2;-;;..................................................................................................................................;; ;(WideMemo)
330;32;INF2;4;2;INFORMÁTICA Y COMUNICACIONES;;..................................................................................................................................;; ;(WideMemo)
660;65;INF3;5;2;INFORMÁTICA Y COMUNICACIONES;;xxxxxxxxxxxx..............xx......................................................................................................;; ;(WideMemo)
260;25;INF4;4;2;INFORMÁTICA Y COMUNICACIONES;;............................................................................................................xxxxxxxx..............;; ;(WideMemo)
1230;49;INF5;5;2;INFORMÁTICA Y COMUNICACIONES;;..................................................................................................................................;; ;(WideMemo)
1510;100;INF6;5;2;INFORMÁTICA Y COMUNICACIONES;;................................................xxxx..............................................................................;; ;(WideMemo)
1660;20;INF7;5;2;INFORMÁTICA Y COMUNICACIONES;;..................................................................................................................................;; ;(WideMemo)
1700;114;INF8;4;2;INFORMÁTICA Y COMUNICACIONES;;..............................................................................................................................xxxx;; ;(WideMemo)
1910;125;INF9;6;2;-;;..................................................................................................................................;; ;(WideMemo)
580;57;ING1;4;2;LENGUAS EXTRANJERAS;;oo........................oo............................................................................oo........................;; ;(WideMemo)
900;88;ING2;4;2;LENGUAS EXTRANJERAS;;..........................xxxxxxxxxxxx..................................................................oo........xx..............;; ;(WideMemo)
1280;96;ING3;5;2;LENGUAS EXTRANJERAS;;..............................................................................xxxxxxxxxxxxxx......................................;; ;(WideMemo)
1170;90;ING4;4;2;LENGUAS EXTRANJERAS;;................................................xxxx..............................................................................;; ;(WideMemo)
1390;101;ING5;3;2;LENGUAS EXTRANJERAS;;..................................................................................................................................;; ;(WideMemo)
1870;132;ISC;4;2;SERVICIOS A LA COMUNIDAD;;xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............;; ;(WideMemo)
1290;97;MAT;3;2;COMERCIO Y MARKETING;;..................................................................................................................................;; ;(WideMemo)
670;66;MM01;6;2;FME;;....................................................xxxxxxxxxxxx............................................xxxxxxxx..............;; ;(WideMemo)
150;14;MM02;6;2;FME;;..................................................................................................................................;; ;(WideMemo)
320;31;MM03;5;2;FME;;..................................................................................................................................;; ;(WideMemo)
590;58;MM04;6;2;FME;;............................................................................................xxxxxxxxxxxx..............xxxxxxxxxxxx;; ;(WideMemo)
510;50;MM05;6;2;FME;;..................................................................................................................................;; ;(WideMemo)
1580;107;MM06;6;2;FME;;xx........................xx........................xx........................xx........................xx........................;; ;(WideMemo)
340;33;MM21;5;2;FME;;..................................................................................................................................;; ;(WideMemo)
1430;105;MM22;5;2;FME;;..................................................................................................................................;; ;(WideMemo)
1220;75;MM23;5;2;INSTALACIÓN Y MANTENIMIENTO;;..................................................................................................................................;; ;(WideMemo)
1690;84;MM24;5;2;FME;;..................................................................................................................................;; ;(WideMemo)
1890;134;MV;4;2;SERVICIOS A LA COMUNIDAD;;..............oooooooooooo........................................................................................................;; ;(WideMemo)
70;6;OF01;5;2;FME;;..................................................................................................................................;; ;(WideMemo)
980;73;OF02;4;2;FME;;..................................................................................................................................;; ;(WideMemo)
300;29;OF03;5;2;FME;;..................................................................................................................................;; ;(WideMemo)
630;62;OF04;4;2;INSTALACIÓN Y MANTENIMIENTO;;..................................................................................................................................;; ;(WideMemo)
470;78;OF05;4;2;FME;;..................................................................................................................................;; ;(WideMemo)
760;85;OF06;4;2;FME;;..................................................................................................................................;; ;(WideMemo)
100;9;OF07;5;2;FME;;..................................................................................................................................;; ;(WideMemo)
50;4;OF08;5;2;INSTALACIÓN Y MANTENIMIENTO;;............................................................................................................xxxxxxxx..............;; ;(WideMemo)
1260;94;OF09;4;2;FME;;..................................................................................................................................;; ;(WideMemo)
140;13;OF10;3;2;FME;;..................................................................................................................................;; ;(WideMemo)
1610;115;OF11;5;2;FME;;..................................................................................................................................;; ;(WideMemo)
1780;124;OF12;5;2;FME;;..................................................................................................................................;; ;(WideMemo)
620;61;OF21;4;2;INSTALACIÓN Y MANTENIMIENTO;;....................xxxxxx..................................................................................................xxxxxx;; ;(WideMemo)
1070;72;OF22;4;2;INSTALACIÓN Y MANTENIMIENTO;;..................................................................................................................................;; ;(WideMemo)
250;24;OF23;4;2;INSTALACIÓN Y MANTENIMIENTO;;..................................................................................................................................;; ;(WideMemo)
1340;87;OF24;4;2;FME;;..................................................................................................................xx..............;; ;(WideMemo)
680;67;OF25;4;2;INSTALACIÓN Y MANTENIMIENTO;;..................................................................................................................................;; ;(WideMemo)
1440;106;OF26;5;2;INSTALACIÓN Y MANTENIMIENTO;;..................................................................................................................................;; ;(WideMemo)
1350;95;OF27;5;2;INSTALACIÓN Y MANTENIMIENTO;;..........................xxxx................................................xxxx................................................;; ;(WideMemo)
220;21;OGC1;4;2;COMERCIO Y MARKETING;;..................................................................................................................................;; ;(WideMemo)
1650;98;OGC10;5;2;COMERCIO Y MARKETING;;................................................................................................................xxxx..............;; ;(WideMemo)
1730;119;OGC11;5;2;COMERCIO Y MARKETING;;..................................................................................................................................;; ;(WideMemo)
1900;135;OGC12;4;2;COMERCIO Y MARKETING;;..................................................................................................................................;; ;(WideMemo)
360;35;OGC2;5;2;COMERCIO Y MARKETING;;................................xxxxxx........................................xxxx................................................;; ;(WideMemo)
480;47;OGC3;5;2;COMERCIO Y MARKETING;;................................xxxxxx............................................................................................;; ;(WideMemo)
700;69;OGC4;5;2;COMERCIO Y MARKETING;;..........................xx............................................................................xx........................;; ;(WideMemo)
990;74;OGC5;4;2;COMERCIO Y MARKETING;;..............................................................................xxxxxxxxxxxx..........................xxxxxxxxxxxxxx;; ;(WideMemo)
650;64;OGC6;5;2;COMERCIO Y MARKETING;;..................................................................................................................................;; ;(WideMemo)
40;3;OGC7;4;2;COMERCIO Y MARKETING;;xx..................................................xx..................................................xx........................;; ;(WideMemo)
1180;39;OGC8;5;2;COMERCIO Y MARKETING;;........................xx............................................................................xx..........................;; ;(WideMemo)
1240;93;OGC9;4;2;COMERCIO Y MARKETING;;..................................................................................................................................;; ;(WideMemo)
1360;86;OP1;5;2;QUÍMICA;;..................................................................................................................................;; ;(WideMemo)
1800;123;ORI;6;2;FOL;;..................................................................................................................................;; ;(WideMemo)
190;18;OSE1;5;2;INSTALACIÓN Y MANTENIMIENTO;;..................................................................................................................................;; ;(WideMemo)
1540;68;PC1;4;2;COMERCIO Y MARKETING;;..........................xxxxxx....................................................xxxxxx........................................;; ;(WideMemo)
1740;120;PC10;5;2;COMERCIO Y MARKETING;;xxxxxxxxxxxxxx..........................xxxxxxxxxxxxxxxxxxxxxxxxxx..........................xxxxxxxxxxxx..........................;; ;(WideMemo)
1190;91;PC2;5;2;COMERCIO Y MARKETING;;..........................xx..................................................xx..................................................;; ;(WideMemo)
640;63;PC3;4;2;COMERCIO Y MARKETING;;xx........................xx..................................................xx........................xx........................;; ;(WideMemo)
710;70;PC4;4;2;COMERCIO Y MARKETING;;..................................................................................................................................;; ;(WideMemo)
110;10;PC5;4;2;COMERCIO Y MARKETING;;..................................................................................................................................;; ;(WideMemo)
1310;99;PC6;4;2;COMERCIO Y MARKETING;;xx........................xx............................................................................xx........................;; ;(WideMemo)
1250;92;PC7;4;2;COMERCIO Y MARKETING;;..................................................................................................................................;; ;(WideMemo)
1460;108;PC8;5;2;COMERCIO Y MARKETING;;..................................................................................................................................;; ;(WideMemo)
1620;116;PC9;5;2;COMERCIO Y MARKETING;;..............xxxxxxxxxxxxxxxxxxxxxxxxxx......................................xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............;; ;(WideMemo)
200;19;PGA1;4;2;ADMINISTRATIVO;;..................................................................................................................................;; ;(WideMemo)
180;17;PGA2;5;2;ADMINISTRATIVO;;..............................................................................xx..................................xx..............;; ;(WideMemo)
130;12;PGA3;5;2;ADMINISTRATIVO;;............................................................................................................xxxxxxxx..............;; ;(WideMemo)
1850;130;PGA4;6;2;ADMINISTRATIVO;;..................................................................................................................................;; ;(WideMemo)
1860;131;PGA5;6;2;ADMINISTRATIVO;;..................................................................................................................................;; ;(WideMemo)
610;60;PPM1;4;2;MADERA Y MUEBLE;;..................................................................................................................................;; ;(WideMemo)
1470;109;PPM2;3;2;MADERA Y MUEBLE;;..................................................................................................................................;; ;(WideMemo)
1880;133;PSA;6;2;SERVICIOS A LA COMUNIDAD;;xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxooooooooooooxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx;; ;(WideMemo)
1680;104;PT1;4;2;COMERCIO Y MARKETING;;..................................................................................................................................;; ;(WideMemo)
450;44;SAI1;5;2;INFORMÁTICA Y COMUNICACIONES;;xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............xxxxxxxxxxxxxx............;; ;(WideMemo)
20;1;SAI2;5;2;INFORMÁTICA Y COMUNICACIONES;;..............xxxxxxxxxxxx..........xx..xxxxxxxxxxxxxxxxxxxxxxxx..............xxxxxxxxxxxx............................xxxxxxxxxxxx;; ;(WideMemo)
1330;71;SAI3;5;2;INFORMÁTICA Y COMUNICACIONES;;..............................................................................xxxxxxxxxxxx............................xxxxxxxxxxxx;; ;(WideMemo)
1480;110;SAI4;3;2;INFORMÁTICA Y COMUNICACIONES;;..................................................................................................................................;; ;(WideMemo)
1750;121;SAI5;4;2;INFORMÁTICA Y COMUNICACIONES;;..................................................................................................................................;; ;(WideMemo)
1920;136;SAI6;6;2;-;;....................xxxxxx......................xxxx......................xxxx......................xxxx....................xxxxxx;; ;(WideMemo)
80;7;SEA1;5;2;INSTALACIÓN Y MANTENIMIENTO;;..................................................................................................................................;; ;(WideMemo)
440;43;SOL1;6;2;FME;;..................................................................................................................................;; ;(WideMemo)
460;45;SOL2;6;2;FME;;..................................................................................................................................;; ;(WideMemo)
560;55;SOL3;6;2;FME;;..................................................................................................................................;; ;(WideMemo)
600;59;SOL4;6;2;FME;;..................................................................................................................................;; ;(WideMemo)
490;48;SOL5;5;2;FME;;..............................................................................................................................xxxx;; ;(WideMemo)
90;8;SOL6;5;2;FME;;..................................................................................................................................;; ;(WideMemo)
1130;82;SOL7;6;2;FME;;..................................................................................................................................;; ;(WideMemo)
1560;103;SOL8;5;2;FME;;..................................................................................................................................;; ;(WideMemo)
1490;111;SOL9;4;2;FME;;..............xxxxxxxxxxxx........................................................................................................;; ;(WideMemo)
